gu_name,year,birthrate
종로구,2023,0.406
종로구,2022,0.477
종로구,2021,0.531
종로구,2020,0.522
종로구,2019,0.648
종로구,2018,0.606
종로구,2017,0.646
종로구,2016,0.784
종로구,2015,0.813
종로구,2014,0.790
종로구,2013,0.729
종로구,2012,0.890
종로구,2011,0.860
종로구,2010,0.837
중구,2023,0.534
중구,2022,0.606
중구,2021,0.634
중구,2020,0.688
중구,2019,0.780
중구,2018,0.737
중구,2017,0.824
중구,2016,0.974
중구,2015,0.946
중구,2014,1.004
중구,2013,0.955
중구,2012,1.121
중구,2011,1.017
중구,2010,1.055
용산구,2023,0.547
용산구,2022,0.596
용산구,2021,0.664
용산구,2020,0.634
용산구,2019,0.713
용산구,2018,0.747
용산구,2017,0.793
용산구,2016,0.907
용산구,2015,1.005
용산구,2014,0.978
용산구,2013,1.008
용산구,2012,1.098
용산구,2011,1.039
용산구,2010,1.017
성동구,2023,0.639
성동구,2022,0.723
성동구,2021,0.764
성동구,2020,0.783
성동구,2019,0.855
성동구,2018,0.909
성동구,2017,0.972
성동구,2016,1.013
성동구,2015,1.095
성동구,2014,1.027
성동구,2013,1.079
성동구,2012,1.077
성동구,2011,1.026
성동구,2010,1.029
광진구,2023,0.449
광진구,2022,0.461
광진구,2021,0.525
광진구,2020,0.527
광진구,2019,0.652
광진구,2018,0.713
광진구,2017,0.749
광진구,2016,0.867
광진구,2015,0.903
광진구,2014,0.895
광진구,2013,0.877
광진구,2012,0.957
광진구,2011,0.900
광진구,2010,0.935
동대문구,2023,0.566
동대문구,2022,0.620
동대문구,2021,0.660
동대문구,2020,0.699
동대문구,2019,0.765
동대문구,2018,0.753
동대문구,2017,0.822
동대문구,2016,0.889
동대문구,2015,0.960
동대문구,2014,0.914
동대문구,2013,0.909
동대문구,2012,0.998
동대문구,2011,0.975
동대문구,2010,0.941
중랑구,2023,0.623
중랑구,2022,0.659
중랑구,2021,0.650
중랑구,2020,0.660
중랑구,2019,0.777
중랑구,2018,0.825
중랑구,2017,0.906
중랑구,2016,0.995
중랑구,2015,1.051
중랑구,2014,1.006
중랑구,2013,0.991
중랑구,2012,1.082
중랑구,2011,0.996
중랑구,2010,1.010
성북구,2023,0.588
성북구,2022,0.649
성북구,2021,0.656
성북구,2020,0.676
성북구,2019,0.707
성북구,2018,0.737
성북구,2017,0.818
성북구,2016,0.909
성북구,2015,0.991
성북구,2014,0.949
성북구,2013,0.983
성북구,2012,1.044
성북구,2011,1.062
성북구,2010,1.048
강북구,2023,0.478
강북구,2022,0.483
강북구,2021,0.541
강북구,2020,0.550
강북구,2019,0.617
강북구,2018,0.647
강북구,2017,0.825
강북구,2016,0.878
강북구,2015,0.922
강북구,2014,0.955
강북구,2013,0.963
강북구,2012,1.051
강북구,2011,1.018
강북구,2010,0.996
도봉구,2023,0.518
도봉구,2022,0.573
도봉구,2021,0.579
도봉구,2020,0.601
도봉구,2019,0.697
도봉구,2018,0.774
도봉구,2017,0.833
도봉구,2016,0.947
도봉구,2015,1.010
도봉구,2014,1.000
도봉구,2013,0.956
도봉구,2012,1.137
도봉구,2011,1.079
도봉구,2010,1.104
노원구,2023,0.673
노원구,2022,0.716
노원구,2021,0.701
노원구,2020,0.695
노원구,2019,0.776
노원구,2018,0.809
노원구,2017,0.938
노원구,2016,1.068
노원구,2015,1.096
노원구,2014,1.109
노원구,2013,1.057
노원구,2012,1.162
노원구,2011,1.083
노원구,2010,1.100
은평구,2023,0.515
은평구,2022,0.613
은평구,2021,0.604
은평구,2020,0.623
은평구,2019,0.697
은평구,2018,0.772
은평구,2017,0.814
은평구,2016,0.943
은평구,2015,1.003
은평구,2014,1.028
은평구,2013,1.024
은평구,2012,1.139
은평구,2011,1.064
은평구,2010,1.020
서대문구,2023,0.570
서대문구,2022,0.607
서대문구,2021,0.635
서대문구,2020,0.685
서대문구,2019,0.685
서대문구,2018,0.727
서대문구,2017,0.823
서대문구,2016,0.934
서대문구,2015,0.913
서대문구,2014,0.954
서대문구,2013,0.938
서대문구,2012,0.967
서대문구,2011,0.894
서대문구,2010,0.971
마포구,2023,0.476
마포구,2022,0.529
마포구,2021,0.587
마포구,2020,0.594
마포구,2019,0.681
마포구,2018,0.733
마포구,2017,0.806
마포구,2016,0.945
마포구,2015,0.986
마포구,2014,0.915
마포구,2013,0.892
마포구,2012,0.991
마포구,2011,0.977
마포구,2010,0.955
양천구,2023,0.533
양천구,2022,0.608
양천구,2021,0.645
양천구,2020,0.644
양천구,2019,0.742
양천구,2018,0.771
양천구,2017,0.898
양천구,2016,1.008
양천구,2015,1.034
양천구,2014,1.005
양천구,2013,0.990
양천구,2012,1.055
양천구,2011,1.002
양천구,2010,0.974
강서구,2023,0.545
강서구,2022,0.588
강서구,2021,0.617
강서구,2020,0.675
강서구,2019,0.760
강서구,2018,0.826
강서구,2017,0.925
강서구,2016,1.059
강서구,2015,1.129
강서구,2014,1.064
강서구,2013,1.032
강서구,2012,1.151
강서구,2011,1.113
강서구,2010,1.085
구로구,2023,0.643
구로구,2022,0.684
구로구,2021,0.737
구로구,2020,0.737
구로구,2019,0.794
구로구,2018,0.838
구로구,2017,0.943
구로구,2016,1.070
구로구,2015,1.169
구로구,2014,1.142
구로구,2013,1.162
구로구,2012,1.258
구로구,2011,1.177
구로구,2010,1.197
금천구,2023,0.559
금천구,2022,0.588
금천구,2021,0.612
금천구,2020,0.668
금천구,2019,0.709
금천구,2018,0.796
금천구,2017,0.901
금천구,2016,0.944
금천구,2015,1.086
금천구,2014,1.019
금천구,2013,0.944
금천구,2012,1.104
금천구,2011,1.001
금천구,2010,1.011
영등포구,2023,0.635
영등포구,2022,0.671
영등포구,2021,0.713
영등포구,2020,0.705
영등포구,2019,0.829
영등포구,2018,0.851
영등포구,2017,0.884
영등포구,2016,1.011
영등포구,2015,1.085
영등포구,2014,1.025
영등포구,2013,0.999
영등포구,2012,1.142
영등포구,2011,1.103
영등포구,2010,1.128
동작구,2023,0.574
동작구,2022,0.567
동작구,2021,0.602
동작구,2020,0.655
동작구,2019,0.697
동작구,2018,0.737
동작구,2017,0.831
동작구,2016,0.912
동작구,2015,1.012
동작구,2014,1.007
동작구,2013,0.974
동작구,2012,1.017
동작구,2011,1.001
동작구,2010,0.989
관악구,2023,0.394
관악구,2022,0.422
관악구,2021,0.437
관악구,2020,0.474
관악구,2019,0.536
관악구,2018,0.597
관악구,2017,0.662
관악구,2016,0.777
관악구,2015,0.833
관악구,2014,0.834
관악구,2013,0.825
관악구,2012,0.891
관악구,2011,0.897
관악구,2010,0.881
서초구,2023,0.553
서초구,2022,0.599
서초구,2021,0.666
서초구,2020,0.656
서초구,2019,0.715
서초구,2018,0.800
서초구,2017,0.799
서초구,2016,0.928
서초구,2015,1.012
서초구,2014,1.014
서초구,2013,1.007
서초구,2012,1.095
서초구,2011,1.025
서초구,2010,1.068
강남구,2023,0.558
강남구,2022,0.490
강남구,2021,0.523
강남구,2020,0.537
강남구,2019,0.612
강남구,2018,0.631
강남구,2017,0.706
강남구,2016,0.802
강남구,2015,0.857
강남구,2014,0.863
강남구,2013,0.842
강남구,2012,0.886
강남구,2011,0.855
강남구,2010,0.862
송파구,2023,0.543
송파구,2022,0.598
송파구,2021,0.623
송파구,2020,0.665
송파구,2019,0.770
송파구,2018,0.800
송파구,2017,0.871
송파구,2016,0.958
송파구,2015,1.008
송파구,2014,0.996
송파구,2013,0.973
송파구,2012,1.099
송파구,2011,1.042
송파구,2010,1.058
강동구,2023,0.629
강동구,2022,0.719
강동구,2021,0.797
강동구,2020,0.748
강동구,2019,0.758
강동구,2018,0.820
강동구,2017,0.884
강동구,2016,0.938
강동구,2015,1.036
강동구,2014,1.039
강동구,2013,1.006
강동구,2012,1.101
강동구,2011,1.104
강동구,2010,1.096